Designator,Mid X,Mid Y,Rotation,Layer
ESP_BOOT,325.75,-133.5,0.0,bottom
F1,180.974848,-69.056192,90.0,bottom
FB1,176.80188,-134.617832,270.0,bottom
FB2,180.974848,-61.912448,90.0,bottom
GLO1,319.087232,-43.099968,180.0,bottom
GLO2,319.087232,-38.099968,180.0,bottom
GLO3,319.087232,-33.099968,180.0,bottom
HE1,38.1,-38.1,0.0,bottom
HE10,223.8375,-38.1,0.0,bottom
HE11,242.8875,-38.1,0.0,bottom
HE12,261.9375,-38.1,0.0,bottom
HE13,280.9875,-38.1,0.0,bottom
HE14,304.8,-38.1,0.0,bottom
HE15,38.1,-61.9125,0.0,bottom
HE16,57.15,-61.9125,0.0,bottom
HE17,76.2,-61.9125,0.0,bottom
HE18,95.25,-61.9125,0.0,bottom
HE19,114.3,-61.9125,0.0,bottom
HE2,61.9125,-38.1,0.0,bottom
HE20,133.35,-61.9125,0.0,bottom
HE21,152.4,-61.9125,0.0,bottom
HE22,171.45,-61.9125,0.0,bottom
HE23,190.49984,-61.912448,0.0,bottom
HE24,209.55,-61.9125,0.0,bottom
HE25,228.6,-61.9125,0.0,bottom
HE26,247.65,-61.9125,0.0,bottom
HE27,266.7,-61.9125,0.0,bottom
HE28,295.275,-61.9125,0.0,bottom
HE29,333.375,-61.9125,0.0,bottom
HE3,80.9625,-38.1,0.0,bottom
HE30,42.8625,-80.9625,0.0,bottom
HE31,66.675,-80.9625,0.0,bottom
HE32,85.725,-80.9625,0.0,bottom
HE33,104.775,-80.9625,0.0,bottom
HE34,123.825,-80.9625,0.0,bottom
HE35,142.875,-80.9625,0.0,bottom
HE36,161.925,-80.9625,0.0,bottom
HE37,180.975,-80.9625,0.0,bottom
HE38,200.025,-80.9625,0.0,bottom
HE39,219.075,-80.9625,0.0,bottom
HE4,100.0125,-38.1,0.0,bottom
HE40,238.125,-80.9625,0.0,bottom
HE41,257.175,-80.9625,0.0,bottom
HE42,276.225,-80.9625,0.0,bottom
